#DGE	exludesample	sox2_nes:positive:negative
gene_name	baseMean	log2FoldChange	pvalue	padj	Significance	Geneid
KIF20A	966.574891270759	1.94503822350102	0.00166816281644101	0.324094093850604	not_sign	ENSG00000112984.13
SNORD3B-2	539.875754592302	3.01116564400603	0.00173557081384649	0.332922026747212	not_sign	ENSG00000262074.7
IQCG	681.03056989328	3.44368469372106	0.00178846086810913	0.335126254780067	not_sign	ENSG00000114473.15
TROAP	752.703481006509	2.42732444631666	0.00179129118629968	0.335126254780067	not_sign	ENSG00000135451.14
SPAG5-AS1	45.4191717448292	8.84678179451998	0.00190473688652415	NA	not_sign	ENSG00000227543.6
KIF14	1517.69930663978	1.65462849905853	0.00193515293556216	0.345586192008913	not_sign	ENSG00000118193.13
GABBR2	719.207915254836	2.58535231036703	0.00193547672768797	0.345586192008913	not_sign	ENSG00000136928.8
MT-ATP8	7839.91540957479	1.08224317083022	0.00193640378966124	0.345586192008913	not_sign	ENSG00000228253.1
SMOC1	1206.61945227998	1.94097623309956	0.00193842063618567	0.345586192008913	not_sign	ENSG00000198732.12
IGFBP3	3317.01928872099	1.57047803808081	0.00199712229210504	0.351911525750696	not_sign	ENSG00000146674.17
PSD2-AS1	61.5021947027268	-7.37124522863243	0.00206294243785412	NA	not_sign	ENSG00000249131.3
ENSG00000261167	129.189590041936	5.27804999652183	0.00207455026990244	0.354073453649194	not_sign	ENSG00000261167.1
SGO2	1573.57322206114	1.45620000455474	0.0021079587580531	0.354073453649194	not_sign	ENSG00000163535.19
NDRG1	7188.80358872961	-0.878512126222113	0.0021217920941669	0.354073453649194	not_sign	ENSG00000104419.17
TACC3	3086.57022798353	1.19417522663572	0.00213981399685545	0.354073453649194	not_sign	ENSG00000013810.22
ELK3	494.551551872064	3.73842043940524	0.00216736719669429	0.354073453649194	not_sign	ENSG00000111145.9
PMP2	24627.5444300662	0.762913690482024	0.00216859446020258	0.354073453649194	not_sign	ENSG00000147588.8
B4GALNT1	21002.8337886763	0.713137672033802	0.00217294649527353	0.354073453649194	not_sign	ENSG00000135454.15
PDLIM4	77.5583272574613	7.32720193134416	0.00223514553689812	NA	not_sign	ENSG00000131435.14
SYDE1	594.284945615947	3.57365853286134	0.00223814386994338	0.360817363884276	not_sign	ENSG00000105137.14
H1-5	2181.45071695544	1.34504667563763	0.00230796419722985	0.368156730998118	not_sign	ENSG00000184357.5
ENSG00000289559	70.3129945667474	-6.74380612943303	0.00241467671635576	NA	not_sign	ENSG00000289559.3
COL6A3	803.27063101046	2.67011384936415	0.00248290822681909	0.391937409054338	not_sign	ENSG00000163359.18
DAG1	3182.51953145616	1.4218410535777	0.00257176918763169	0.401779281127533	not_sign	ENSG00000173402.14
NPHP1	666.160448957593	3.31116233514639	0.00264800513590794	0.409468059485193	not_sign	ENSG00000144061.15
RELL1	894.039936331711	2.78923761271215	0.00273613167596269	0.414674102963037	not_sign	ENSG00000181826.11
SPATA24	127.224031885123	5.02960867701459	0.00275474131881774	0.414674102963037	not_sign	ENSG00000170469.12
SSX2IP	2550.45228911737	1.24238155399619	0.00276376431300427	0.414674102963037	not_sign	ENSG00000117155.18
ENSG00000254485	43.5818964940358	8.64187846133763	0.00280816638938527	NA	not_sign	ENSG00000254485.5
VEGFA	55106.8797451269	-0.6814081935321	0.0029435645693775	0.437321347885751	not_sign	ENSG00000112715.26
ENSG00000233420	102.667722840464	5.77591087924469	0.0030580969357221	0.449926222950804	not_sign	ENSG00000233420.2
MARS1	37673.9822124757	-0.667146104217366	0.00315878561777328	0.453659768994582	not_sign	ENSG00000166986.16
DEPDC1B	268.323814407238	4.19008234954237	0.00316630916996417	0.453659768994582	not_sign	ENSG00000035499.14
VIPR2	204.193466669752	4.06796195509015	0.00317328332542073	0.453659768994582	not_sign	ENSG00000106018.15
PLEKHB1	389.380371703225	3.95991601020275	0.00332017557785792	0.455515870265906	not_sign	ENSG00000021300.14
ENSG00000292993	80.0454953186379	5.97878829234745	0.00332799948378413	NA	not_sign	ENSG00000292993.1
FBXO44	318.44812665778	4.09572561661259	0.00333389461876529	0.455515870265906	not_sign	ENSG00000132879.15
C3	408.969421750067	-2.36400421479442	0.00333646379907511	0.455515870265906	not_sign	ENSG00000125730.19
HSPA6	1820.98738590021	-1.61082694095365	0.00334882493538146	0.455515870265906	not_sign	ENSG00000173110.8
FZD7	581.15945911992	2.89021763512836	0.00339022972100679	0.455515870265906	not_sign	ENSG00000155760.3
SAPCD2	645.56726456032	2.61304187888548	0.00342419695975178	0.455515870265906	not_sign	ENSG00000186193.10
PHRF1	15111.7317318526	-0.802487845943081	0.0034647508780245	0.455515870265906	not_sign	ENSG00000070047.14
USP36	10648.3111024386	-0.873576214877474	0.00348877324823121	0.455515870265906	not_sign	ENSG00000055483.21
MICOS13	233.739167074723	4.18184453389102	0.00350703783529836	0.455515870265906	not_sign	ENSG00000174917.10
WNT5A	72.869030111106	6.18362206112217	0.00357684866091528	NA	not_sign	ENSG00000114251.15
FBLN1	204.044624191878	4.69430653231223	0.00359306750716874	0.455515870265906	not_sign	ENSG00000077942.20
AMOT	372.096678304379	4.30890543593195	0.00362057345725599	0.455515870265906	not_sign	ENSG00000126016.17
ENSG00000280206	241.656001305887	4.34674907129319	0.00362155242433901	0.455515870265906	not_sign	ENSG00000280206.1
SLC3A2	7746.69810617342	-0.886410653132815	0.00369501060898466	0.455515870265906	not_sign	ENSG00000168003.20
YJEFN3	7833.92104743754	-1.10612462728825	0.00371287230873586	0.455515870265906	not_sign	ENSG00000250067.13
MT-ND3	2073.16705351579	1.53591368496161	0.00375279676885334	0.455515870265906	not_sign	ENSG00000198840.2
SCAND1	334.872424269883	4.01499862073035	0.00376924300055247	0.455515870265906	not_sign	ENSG00000171222.12
IQGAP3	847.09069482097	1.72084578042424	0.00377672202362131	0.455515870265906	not_sign	ENSG00000183856.12
UBE2D1	196.759863170738	4.70410790799036	0.00378799563116667	0.455515870265906	not_sign	ENSG00000072401.16
BAX	269.571703911426	4.14051307632805	0.00381208547422911	0.455515870265906	not_sign	ENSG00000087088.22
SAFB2	30300.6279341404	-0.843315644003658	0.00384079602187533	0.455515870265906	not_sign	ENSG00000130254.14
B3GNT5	542.452320673633	3.04800952843536	0.00384835720113557	0.455515870265906	not_sign	ENSG00000176597.13
LINC00632	8125.79187533676	0.862570024611037	0.00387014276161437	0.455515870265906	not_sign	ENSG00000203930.15
SAFB	21371.6449251036	-0.772946938293861	0.00387762618874897	0.455515870265906	not_sign	ENSG00000160633.14
ZNF469	58.825343801714	7.2148387739473	0.00390073293888722	NA	not_sign	ENSG00000225614.4
PELP1	6482.27456584587	-0.916387709980865	0.00391519411889478	0.456327387076326	not_sign	ENSG00000141456.17
SRRT	11601.3812095647	-0.853457778909862	0.00396793583029169	0.456327387076326	not_sign	ENSG00000087087.21
ZDHHC4	394.41350116775	3.99676886036467	0.00399880893292258	0.456327387076326	not_sign	ENSG00000136247.16
RN7SL146P	627.64813713123	-2.18828006574222	0.00403121130356402	0.456327387076326	not_sign	ENSG00000240106.2
LUC7L3	44527.1027862272	-0.782922056743095	0.00404918901166203	0.456327387076326	not_sign	ENSG00000108848.16
DDX27	10644.7841414416	-0.929343804103875	0.00407090910716343	0.456327387076326	not_sign	ENSG00000124228.16
CCNB1	1215.09623779483	1.48721076529219	0.00409532299342618	0.456327387076326	not_sign	ENSG00000134057.16
LINC01094	66.677926017733	7.19483805832509	0.00415123937507423	NA	not_sign	ENSG00000251442.9
RAB3B	2013.30598016887	1.15797380196016	0.00427961543004678	0.471492718692443	not_sign	ENSG00000169213.8
KIF18A	564.589111611668	2.35233253696285	0.004293651523001	0.471492718692443	not_sign	ENSG00000121621.8
BUB1B	2215.88045913781	1.10517866701599	0.00433488480619664	0.472596002540316	not_sign	ENSG00000156970.14
TUBA1B	6374.23494947629	0.816314001978758	0.00440666501135729	0.474645205270259	not_sign	ENSG00000123416.16
TIMP3	1331.34887454119	1.44154702918822	0.00445110613975684	0.474645205270259	not_sign	ENSG00000100234.13
UBE2C	520.418617636462	2.26420771842467	0.00445794515666467	0.474645205270259	not_sign	ENSG00000175063.18
TAF5	441.209808924586	3.32437040474902	0.00455045189956689	0.474645205270259	not_sign	ENSG00000148835.13
ENSG00000215022	133.111768093027	5.2781059686979	0.00455385721413666	0.474645205270259	not_sign	ENSG00000215022.8
ST8SIA2	469.57379368973	-2.97760213928307	0.00456121563870287	0.474645205270259	not_sign	ENSG00000140557.13
SPC25	319.226798890453	3.53834521858972	0.0045729312372613	0.474645205270259	not_sign	ENSG00000152253.10
H2BC17	371.001706196235	3.1608157672353	0.00465815772587679	0.477392265816714	not_sign	ENSG00000274641.2
ALDH3B1	288.051031971921	4.16642728466698	0.00466240301840265	0.477392265816714	not_sign	ENSG00000006534.18
SRCIN1	311.853355219529	4.07813474338055	0.00482411221077609	0.490634875450342	not_sign	ENSG00000277363.5
LINC02936	111.529257601353	5.15683629037764	0.00496604338172166	0.5017028093774	not_sign	ENSG00000227359.2
H2BC4	2897.94944819757	1.13614597005352	0.00507248529133091	0.508831927663072	not_sign	ENSG00000180596.10
APOE	4227.59020066125	0.951704779506057	0.0051759836788285	0.508831927663072	not_sign	ENSG00000130203.11
NDUFS6	537.262143310386	2.67312504578901	0.00517964127285884	0.508831927663072	not_sign	ENSG00000145494.13
APBB2	1995.70514559513	1.38662216609924	0.00519371496620441	0.508831927663072	not_sign	ENSG00000163697.19
SOX21-AS1	212.468879386866	4.39974819191563	0.00523624905473273	0.508831927663072	not_sign	ENSG00000227640.5
FMOD	155.190043554149	4.5326444560631	0.00523807448300378	0.508831927663072	not_sign	ENSG00000122176.13
H2AC8	1341.84222281436	1.38901432605838	0.00535783737146564	0.514221179942241	not_sign	ENSG00000277075.4
NPM2	592.151302700217	-2.1117225869773	0.00536141919169025	0.514221179942241	not_sign	ENSG00000158806.15
GPR179	278.488205757555	2.64147235406572	0.00544445150300043	0.518900742619299	not_sign	ENSG00000277399.6
TPM3P7	502.497722514421	-2.06291368072114	0.00547989756729571	0.519014798342495	not_sign	ENSG00000187536.4
RIOX2	353.739794454772	3.59661249758076	0.00553807232987435	0.521266758303826	not_sign	ENSG00000170854.19
CD74	353.20476729803	-2.63151964571991	0.00563005655970885	0.524418663360728	not_sign	ENSG00000019582.18
ENSG00000288696	152.316526313976	4.89286155876418	0.00570518432244358	0.524418663360728	not_sign	ENSG00000288696.4
FIBIN	764.565291402897	2.14970277233424	0.00570572054226852	0.524418663360728	not_sign	ENSG00000176971.4
ANKRD49P2	124.025674685969	-4.46385815276925	0.00570998280681801	0.524418663360728	not_sign	ENSG00000225349.2
ACSF2	322.407817411953	3.61840777023896	0.0058077302731738	0.529829817703495	not_sign	ENSG00000167107.14
TSPAN13	214.518651030579	4.46556643730385	0.00586704244674933	0.529829817703495	not_sign	ENSG00000106537.9
ATF4	13445.3679344595	-0.819193723069983	0.00593890206128417	0.529829817703495	not_sign	ENSG00000128272.20
HPD	46.2948967288262	-7.79279717669164	0.00595202653347509	NA	not_sign	ENSG00000158104.12
SEMA6D	4947.61862094823	0.822569723863717	0.00599289587439445	0.529829817703495	not_sign	ENSG00000137872.18
CNGA3	1120.04943163753	-1.91065132391366	0.00599792562624737	0.529829817703495	not_sign	ENSG00000144191.13
NCOA6	4947.34850881384	0.958927430233142	0.00605179793062188	0.529829817703495	not_sign	ENSG00000198646.15
NACC2	1258.95961841145	1.99853186009616	0.00607597319810466	0.529829817703495	not_sign	ENSG00000148411.9
HJURP	2350.18136469982	1.14656504964851	0.00609243746428624	0.529829817703495	not_sign	ENSG00000123485.12
ENSG00000310146	116.91774109029	4.85710128936429	0.00610416652120831	0.529829817703495	not_sign	ENSG00000310146.1
DNER	617.951433043107	1.81718565732787	0.00611853095539868	0.529829817703495	not_sign	ENSG00000187957.9
UQCR10	344.370910071619	3.92572602701096	0.00631252489420689	0.538749751074645	not_sign	ENSG00000184076.14
SEC61G	5181.64662840434	-0.827011552683882	0.00637372213723329	0.538749751074645	not_sign	ENSG00000132432.15
IRAK2	455.255175007273	3.28603469630206	0.00638208843250996	0.538749751074645	not_sign	ENSG00000134070.6
DDRGK1	7156.28072422109	-0.822473830412941	0.00639693785968153	0.538749751074645	not_sign	ENSG00000198171.14
STK17A	1679.6403884331	1.72744257706582	0.00639929755796727	0.538749751074645	not_sign	ENSG00000164543.8
PARD6B	223.782948608755	4.26360744850185	0.00654597412907734	0.542096181260953	not_sign	ENSG00000124171.10
ENSG00000286807	52.2847290275071	7.39227575190397	0.00661760376668311	NA	not_sign	ENSG00000286807.1
EGR1	17574.9713136002	0.873441699294479	0.00662607566717939	0.542096181260953	not_sign	ENSG00000120738.8
ANLN	2138.23445095085	1.2454419744466	0.00667845046533654	0.542096181260953	not_sign	ENSG00000011426.12
CHST2	613.327374717789	2.9801827907117	0.00669003850220698	0.542096181260953	not_sign	ENSG00000175040.6
RBM25	36355.9573296328	-0.843755303060768	0.00669901070245296	0.542096181260953	not_sign	ENSG00000119707.15
ARHGAP11B	108.766052169067	4.99523115655129	0.00670859295781334	0.542096181260953	not_sign	ENSG00000285077.4
FGF1	440.110442367714	3.21579633205176	0.00671649234959579	0.542096181260953	not_sign	ENSG00000113578.19
NEFH	365.965920919508	-2.67507312919698	0.00677841971720828	0.542096181260953	not_sign	ENSG00000100285.10
DOK1	159.816481271272	4.38132354759848	0.00681443726680782	0.542096181260953	not_sign	ENSG00000115325.15
ABTB3	144.222200040371	4.70929207006952	0.0068157936209682	0.542096181260953	not_sign	ENSG00000151136.15
ENSG00000303591	47.8866866237697	-7.33451248304447	0.00682091726907732	NA	not_sign	ENSG00000303591.1
CENPA	124.003166273043	4.88335817068847	0.00683254392377207	0.542096181260953	not_sign	ENSG00000115163.16
ENSG00000280294	88.1641526543628	5.29491015098674	0.00698509319746207	0.551313032887189	not_sign	ENSG00000280294.1
DDIT3	12447.5680955221	-0.826824949629412	0.00706601030039558	0.554809948664221	not_sign	ENSG00000175197.13
VPS53	6634.18403600889	-0.747433140021172	0.0071349394749356	0.55733439589265	not_sign	ENSG00000141252.21
MAST4	453.143817680549	3.65408249513395	0.00721925052193674	0.55982174346516	not_sign	ENSG00000069020.19
ENSG00000288745	72.5403440368705	5.79685162930038	0.00726414935602902	NA	not_sign	ENSG00000288745.1
LINC01266	296.74009353101	3.57990069464692	0.00730198707435464	0.55982174346516	not_sign	ENSG00000224957.8
ADA2	37.3272891235715	8.21004893585901	0.00731019401672224	NA	not_sign	ENSG00000093072.20
ENSG00000277450	50.6426777185729	7.37431571941383	0.00737131424849374	NA	not_sign	ENSG00000277450.1
ENSG00000280222	217.39220681288	-3.88053119694738	0.00737322181537341	0.55982174346516	not_sign	ENSG00000280222.1
DBNDD1	212.421328377278	4.17070131915841	0.00741069849989329	0.55982174346516	not_sign	ENSG00000003249.16
ENSG00000287815	46.7311690312127	7.55755768050643	0.0074635430955036	NA	not_sign	ENSG00000287815.3
SCUBE3-AS1	116.785510622528	4.82243220467095	0.00746404687061555	0.55982174346516	not_sign	ENSG00000272374.1
ICAM1	448.641276957508	3.48703880060261	0.00747921601303307	0.55982174346516	not_sign	ENSG00000090339.10
TBC1D8	400.771067627248	3.50049787878806	0.00748388992281248	0.55982174346516	not_sign	ENSG00000204634.14
NEIL3	165.828086761743	4.5147983520712	0.00748406893276888	0.55982174346516	not_sign	ENSG00000109674.5
ENSG00000205041	155.064078561443	4.36235745386823	0.00750340889160442	0.55982174346516	not_sign	ENSG00000205041.1
RHOBTB2-AS1	244.229398864458	3.96226925408178	0.0075362040165562	0.55982174346516	not_sign	ENSG00000245025.4
ENSG00000279551	1444.12211723837	1.30956106450787	0.00763484322445347	0.561849547910011	not_sign	ENSG00000279551.1
FILIP1	163.953023909231	-4.23214491850637	0.00769158396148489	0.561849547910011	not_sign	ENSG00000118407.16
ZNF658	236.909914762347	4.23555776823732	0.00772421121716126	0.561849547910011	not_sign	ENSG00000274349.6
NDC80	917.791140339151	1.80417826806435	0.00773222554726772	0.561849547910011	not_sign	ENSG00000080986.14
LPCAT2	88.1258718987787	5.18034618892409	0.00779644851983378	0.561849547910011	not_sign	ENSG00000087253.14
CLK1	8938.49139586624	-0.68968186335848	0.00780908725639984	0.561849547910011	not_sign	ENSG00000013441.18
EIF4A1P6	51.8317914478358	-6.76305002854347	0.00786243378832517	NA	not_sign	ENSG00000236608.1
TSPAN11	1198.22156359784	1.35302875580498	0.00790090191625847	0.561849547910011	not_sign	ENSG00000110900.17
CHST6	294.781369379681	2.46176128159935	0.00792757276618013	0.561849547910011	not_sign	ENSG00000183196.11
LOXHD1	101.756250880551	-4.8809809352831	0.00794777385364881	0.561849547910011	not_sign	ENSG00000167210.17
ENSG00000278133	151.583796345805	4.4210688083407	0.00798439934567577	0.561849547910011	not_sign	ENSG00000278133.1
NOD1	318.864752508783	3.74824204467732	0.00802746901335231	0.561849547910011	not_sign	ENSG00000106100.12
TTK	495.224931026242	2.07394332176762	0.0080570672548166	0.561849547910011	not_sign	ENSG00000112742.11
FARS2	329.734194916012	3.25480258090722	0.00809082410587885	0.561849547910011	not_sign	ENSG00000145982.14
ROBO3	3186.84576832089	-1.25234644151912	0.00809834683757178	0.561849547910011	not_sign	ENSG00000154134.15
SYF2	7282.11783167593	-0.872071811780534	0.00812327298564593	0.561849547910011	not_sign	ENSG00000117614.11
PSORS1C1	271.550084253558	3.32194092069863	0.00816350825244073	0.561849547910011	not_sign	ENSG00000204540.11
DUT-AS1	152.33237487715	4.44622860787934	0.0082160567252498	0.561849547910011	not_sign	ENSG00000259488.2
WNK4	249.153131107759	3.68651681924697	0.00823086971334449	0.561849547910011	not_sign	ENSG00000126562.18
DIAPH3	870.963228698964	2.04586699579382	0.0083392485308515	0.56669494276468	not_sign	ENSG00000139734.19
H2BC18	617.011407610862	2.31544798911648	0.00848321037487417	0.571962864048415	not_sign	ENSG00000203814.7
SFRP1	146.634291379512	-4.14541423089137	0.00850086487105451	0.571962864048415	not_sign	ENSG00000104332.13
ENSG00000261786	365.183958409508	2.41745350916349	0.00852999916028387	0.571962864048415	not_sign	ENSG00000261786.1
GPC6	1249.3252404683	1.65426845592273	0.00864222445606977	0.576935107521063	not_sign	ENSG00000183098.12
RSRC2	16643.9384125486	-0.674583558129609	0.00869832771135939	0.578133588324299	not_sign	ENSG00000111011.19
ECT2	2244.16105165072	1.04424374775857	0.0087501274346874	0.579036817228178	not_sign	ENSG00000114346.15
S1PR1	48.7703431086429	7.31432874752231	0.00877192010696687	NA	not_sign	ENSG00000170989.11
ENSG00000289267	101.608215775196	5.25277491126343	0.00882617508351948	0.579776791799991	not_sign	ENSG00000289267.2
